Country Name,Country Code,Series Name,Series Code,2019 [YR2019]
Estonia,EST,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,3.3419636171697
Eswatini,SWZ,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,5.09910496037746
Ethiopia,ETH,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,5.48664148021712
Faroe Islands,FRO,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,2.92985288714129
Fiji,FJI,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-0.334080464484003
Finland,FIN,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1.23812097519217
France,FRA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1.68870844116209
French Polynesia,PYF,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,2.98746345088283
Gabon,GAB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1.38257599119697
"Gambia, The",GMB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,3.74848295956672
Georgia,GEO,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,5.56167165873158
Germany,DEU,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,0.76040219541116
Ghana,GHA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,4.39063133478864
Gibraltar,GIB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,..
Greece,GRC,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,2.38497557963629
Greenland,GRL,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,2.46273159433217
Grenada,GRD,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,0.424779227477273
Guam,GUM,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,3.07547868580322
Guatemala,GTM,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,2.44813641532025
Guinea,GIN,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,2.9464024435663
Guinea-Bissau,GNB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,3.12319463002974
Guyana,GUY,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,3.25156178245531
Haiti,HTI,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-2.98683711868885
Honduras,HND,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,0.71936151617345
"Hong Kong SAR, China",HKG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-2.39663450632773
Hungary,HUN,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,5.2087641343076
Iceland,ISL,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-0.354233389637315
India,IND,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,2.79675759965889
Indonesia,IDN,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,4.0413041818536
"Iran, Islamic Rep.",IRN,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-4.11017939543771
Iraq,IRQ,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,3.14043943264693
